EntrezID	Symbol
100287102	DDX11L1
102466751	MIR6859-1
107985730	MIR1302-2HG
645520	FAM138A
79501	OR4F5
124900384	LOC124900384
729737	LOC729737
102725121	DDX11L17
102465909	MIR6859-2
100996442	WASH9P
127239154	LOC127239154
124900618	LOC124900618
112268260	LOC112268260
729759	OR4F29
100132287	LOC100132287
124904706	LOC124904706
105378947	LOC105378947
101928626	LOC101928626
81399	OR4F16
100288069	LOC100288069
400728	FAM87B
79854	LINC00115
643837	LINC01128
107984850	LOC107984850
284593	FAM41C
284600	LOC284600
100130417	LINC02593
148398	SAMD11
339451	KLHL17
84069	PLEKHN1
84808	PERM1
57801	HES4
9636	ISG15
375790	AGRN
100288175	LOC100288175
401934	RNF223
54991	C1orf159
254099	LINC01342
406984	MIR200B
554210	MIR429
254173	TTLL10
8784	TNFRSF18
7293	TNFRSF4
51150	SDF4
388581	C1QTNF12
118424	UBE2J2
6339	SCNN1D
116983	ACAP3
126789	PUSL1
54973	INTS11
80772	CPTP
83756	TAS1R3
1855	DVL1
54587	MXRA8
54998	AURKAIP1
81669	CCNL2
148413	MRPL20-AS1
105378585	ANKRD65-AS1
643965	TMEM88B
102724312	LINC01770
64856	VWA1
219293	ATAD3C
83858	ATAD3B
55210	ATAD3A
339453	TMEM240
29101	SSU72
643988	FNDC10
105378586	LOC105378586
142678	MIB2
8510	MMP23B
984	CDK11B
728661	SLC35E2B
8511	MMP23A
728642	CDK11A
9906	SLC35E2A
65220	NADK
2782	GNB1
163688	CALML6
85452	CFAP74
105378589	LOC105378589
2563	GABRD
105378591	PRKCZ-DT
5590	PRKCZ
100506504	PRKCZ-AS1
199990	FAAP20
6497	SKI
124903824	LOC124903824
100129534	LOC100129534
79906	MORN1
11079	RER1
5192	PEX10
9651	PLCH2
55229	PANK4
388585	HES5
115110	TNFRSF14-AS1
8764	TNFRSF14
100996583	LOC100996583
127281	PRXL2B
79258	MMEL1
105378598	LOC105378598
100287898	TTC34
124903825	LOC124903825
140625	ACTRT2
124903827	LOC124903827
63976	PRDM16
100422968	MIR4251
105378604	LOC105378604
27237	ARHGEF16
1953	MEGF6
693135	MIR551A
49856	WRAP73
105378610	TP73-AS3
7161	TP73
57212	GFOD3P
148870	CCDC27
388588	SMIM1
57470	LRRC47
9731	CEP104
1677	DFFB
339448	C1orf174
100133612	LINC01134
728716	LINC01346
105376672	LINC01345
284661	LINC01777
124904578	LOC124904578
105376679	LINC01646
55966	AJAP1
105376680	LINC02781
105376681	LINC02782
105376686	LOC105376686
100616421	MIR4689
261734	NPHP4
8514	KCNAB2
26038	CHD5
6146	RPL22
388591	RNF207
148645	ICMT-DT
390992	HES3
387509	GPR153
11332	ACOT7
54626	HES2
100422975	MIR4252
83715	ESPN
8718	TNFRSF25
57449	PLEKHG5
79707	NOL9
80835	TAS1R1
3104	ZBTB48
9903	KLHL21
148479	PHF13
90326	THAP3
55735	DNAJC11
100505887	LINC01672
110841581	CAMTA1-DT
23261	CAMTA1
127138864	CAMTA1-AS3
102725193	CAMTA1-AS2
101928836	CAMTA1-AS1
8863	PER3
10911	UTS2
3604	TNFRSF9
11315	PARK7
124903834	LOC124903834
54206	ERRFI1
121832806	ERRFI1-DT
102724539	LINC01714
50651	SLC45A1
473	RERE
102724552	RERE-AS1
124900452	LOC124900452
102465436	MIR6728
2023	ENO1
100505975	ENO1-AS1
765	CA6
155184	SLC2A7
6518	SLC2A5
124900441	LOC124900441
80045	GPR157
407040	MIR34A
