seqnames	start	end	width	strand	fold_change	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	gene_symbol
chr10	123199268	123203143	3876	*	1.80256385185429	1.16155208608002e-19	Distal Intergenic	10	123162254	123163241	988	1	9184	ENST00000481952.1	37014	ENSG00000154473	BUB3	BUB3 mitotic checkpoint protein	BUB3
chr1	2652189	2656014	3826	*	2.18970052960345	2.97517624859853e-18	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2590639	2633016	42378	2	79258	ENST00000378412.8	-19173	ENSG00000142606	MMEL1	membrane metalloendopeptidase like 1	MMEL1
chr7	150993832	151003936	10105	*	1.75484360023959	1.31200470286188e-17	Promoter (<=1kb)	7	151001867	151002963	1097	1	4846	ENST00000460603.1	0	ENSG00000164867	NOS3	nitric oxide synthase 3	NOS3
chr4	1784151	1786246	2096	*	1.97073555316247	2.3966745138736e-14	Distal Intergenic	4	1793293	1808867	15575	1	2261	ENST00000340107.9	-7047	ENSG00000068078	FGFR3	fibroblast growth factor receptor 3	FGFR3
chr9	137313207	137314424	1218	*	1.87603878333372	2.60134543120473e-14	Intron (ENST00000491734.6/54932, intron 13 of 14)	9	137299631	137302271	2641	2	441478	ENST00000356628.4	-10936	ENSG00000198435	NRARP	NOTCH regulated ankyrin repeat protein	NRARP
chr19	591864	594936	3073	*	1.67594251184814	4.61800765171239e-14	Promoter (1-2kb)	19	589881	617159	27279	1	610	ENST00000251287.3	1983	ENSG00000099822	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	HCN2
chr1	2821942	2826401	4460	*	1.65077328175807	5.41414275477669e-14	Distal Intergenic	1	2814056	2817767	3712	1	124903825	ENST00000664694.1	7886	ENSG00000287396	LOC124903825	uncharacterized LOC124903825	LOC124903825
chr9	136658226	136660664	2439	*	1.74369167214032	2.72778285226944e-13	Promoter (<=1kb)	9	136647872	136660457	12586	2	101928612	ENST00000674687.3	0	ENSG00000228401	HSPC324	uncharacterized LOC101928612	HSPC324
chr9	85427221	85432561	5341	*	1.40625354843209	4.29880604000419e-13	Intron (ENST00000669133.1/105376121, intron 1 of 2)	9	85369591	85443924	74334	2	105376121	ENST00000669133.1	11363	ENSG00000285634	LOC105376121	uncharacterized LOC105376121	LOC105376121
chr1	2438432	2442033	3602	*	1.81622519335292	5.06191152106656e-13	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2425980	2479804	53825	1	9651	ENST00000609981.5	12452	ENSG00000149527	PLCH2	phospholipase C eta 2	PLCH2
chr10	133158561	133162204	3644	*	1.8298460620208	7.20398422144093e-13	Promoter (<=1kb)	10	133160219	133174555	14337	1	85442	ENST00000478074.6	0	ENSG00000171798	KNDC1	kinase non-catalytic C-lobe domain containing 1	KNDC1
chr20	63417051	63419194	2144	*	1.81514397832581	7.31825509991984e-13	Promoter (2-3kb)	20	63413276	63415035	1760	2	3785	ENST00000629318.1	-2016	ENSG00000075043	KCNQ2	potassium voltage-gated channel subfamily Q member 2	KCNQ2
