gene_symbol	annotation	fold_change	FDR	distance_to_TSS
MMEL1	Intron (ENST00000401095.9/100287898, intron 6 of 8)	2.18970052960345	2.97517624859853e-18	-19173
FGFR3	Distal Intergenic	1.97073555316247	2.3966745138736e-14	-7047
SHANK1	Intron (ENST00000293441.6/50944, intron 15 of 23)	1.94375337193501	3.61139650822475e-08	-4436
NRARP	Intron (ENST00000491734.6/54932, intron 13 of 14)	1.87603878333372	2.60134543120473e-14	-10936
KNDC1	Promoter (<=1kb)	1.8298460620208	7.20398422144093e-13	0
PLCH2	Intron (ENST00000609981.5/9651, intron 2 of 3)	1.81622519335292	5.06191152106656e-13	12452
KCNQ2	Promoter (2-3kb)	1.81514397832581	7.31825509991984e-13	-2016
LOC124903824	Exon (ENST00000659232.1/124903824, exon 4 of 4)	1.80613496611802	1.12489999698105e-08	5558
BUB3	Distal Intergenic	1.80256385185429	1.16155208608002e-19	37014
CCDC188	Distal Intergenic	1.79199942747472	1.05552571555737e-09	-8442
EMILIN3	Promoter (1-2kb)	1.78605058165475	3.52827094485781e-11	1570
KLHDC7B	Promoter (<=1kb)	1.7843399116403	1.76128927187025e-10	0
ACTRT2	Distal Intergenic	1.77757807036126	6.30120776810982e-09	-46670
ACTRT2	Distal Intergenic	1.76210087762878	2.47012319187891e-07	-88845
NOS3	Promoter (<=1kb)	1.75484360023959	1.31200470286188e-17	0
MIR4456	Promoter (1-2kb)	1.75263696606037	1.72918145328852e-10	1177
SAMD11	Promoter (<=1kb)	1.75128327234068	2.61542601108416e-10	118
AATK	Promoter (<=1kb)	1.74978761152465	4.69167183841656e-12	-642
NTN3	Promoter (<=1kb)	1.74975435325319	2.47885112201382e-10	793
ACTRT2	Distal Intergenic	1.74643446266118	2.00243828692827e-12	-39187
HSPC324	Promoter (<=1kb)	1.74369167214032	2.72778285226944e-13	0
ACSF3	Distal Intergenic	1.74046033966083	7.68096987793692e-08	-23153
KIF1A	Promoter (<=1kb)	1.73664274878308	8.0055746264918e-09	0
ACTRT2	Distal Intergenic	1.73185022341504	1.01537656458662e-12	-17415
TACC3	Distal Intergenic	1.7289410525533	8.31284815938207e-13	14086
PVALEF	Promoter (<=1kb)	1.72804777187149	2.30325997861435e-11	-187
CARD9	Promoter (1-2kb)	1.70260630781684	8.91804036875458e-07	1442
LINC01019	Intron (ENST00000662836.1/285577, intron 1 of 4)	1.70082011196423	4.48314107110618e-08	4243
TACC3	Distal Intergenic	1.69890713751922	6.31888811351626e-11	5244
LINC01770	Promoter (<=1kb)	1.69754993159169	2.55593132334097e-12	0
IL17REL	Promoter (<=1kb)	1.69103909728914	2.67937381808511e-12	0
ATP2A3	Exon (ENST00000309890.11/489, exon 2 of 22)	1.67950304463658	4.25260659073079e-09	-7702
CRB2	Exon (ENST00000359999.7/286204, exon 2 of 10)	1.67819060470159	6.31888811351626e-11	-4958
CCDC187	Exon (ENST00000638797.2/399693, exon 5 of 26)	1.6772782355886	9.64574842394433e-11	11544
TSPAN4	Promoter (<=1kb)	1.67673928453813	2.38377245310913e-12	0
CHD5	Promoter (1-2kb)	1.6766910211173	1.03564298863631e-09	1676
HCN2	Promoter (1-2kb)	1.67594251184814	4.61800765171239e-14	1983
RNF223	Promoter (<=1kb)	1.67433485505306	3.60439873388245e-11	0
TNFRSF18	Promoter (<=1kb)	1.67202233199988	6.37136226432993e-11	0
